Ra, Dec
291.93422999999996,48.141651
291.93422999999996,48.141651
297.00482,48.134128999999994
285.53461,48.28521
288.75487999999996,48.2262
296.28612999999996,48.22467
296.28612999999996,48.22467
296.28612999999996,48.22467
298.86435,42.151569
286.99948,48.37579
286.80847,49.316399
292.24728,47.969521
281.28812,42.45108
295.64871,48.49556
297.07993,47.597401
289.25821,47.635319
295.81453999999997,47.69035
297.15442,47.668701
288.13824,47.724449
283.71088,47.86327
283.76547,47.804297999999996
292.37613,47.880989
292.37613,47.880989
292.37613,47.880989
292.27374,37.671558000000005
290.46512,47.92918
297.80826,47.946671
294.26581,49.314091
295.66522000000003,49.351009000000005
296.69861000000003,49.316479
283.72592000000003,49.479519
291.72202000000004,49.480869
286.99948,48.37579
286.99948,48.37579
297.02563,48.478588
285.71854,48.505859
285.71854,48.505859
292.16705,48.727589
297.92365,48.777321
298.45685,48.791592
291.0939,48.933842
287.88732999999996,46.276241
295.55505,49.017342
285.49924,49.277351
291.93616000000003,49.253979
297.01547,49.225288
284.17233,49.360721999999996
291.62241,50.61824
295.81616,51.121738
295.81616,51.121738
289.39972,51.25032
300.86397999999997,44.337551
287.88732999999996,46.276241
288.98682,49.733742
286.73804,49.97575
286.73804,49.97575
286.73804,49.97575
290.78574,50.054119
294.31686,50.080231
285.17621,50.149817999999996
289.23553,50.241001000000004
293.83331,50.23035
293.83331,50.23035
287.88732999999996,46.276241
296.22195,50.28722
290.09805,50.321609
295.45529,50.49456
293.97336,50.531909999999996
293.97336,50.531909999999996
296.02133,50.56778
300.86397999999997,44.337551
292.31595,38.27029
294.36818999999997,38.31028
291.65353,38.494659000000006
291.65353,38.494659000000006
291.0448,51.321671
296.36652000000004,51.319519
296.36652000000004,51.319519
289.11221,51.737381
290.84369,37.728828
291.84891,37.713501
291.43997,37.905659
290.87051,38.273628
290.99689,38.28492
291.28195,38.241669
286.07912999999996,39.27832
286.07912999999996,39.27832
300.86397999999997,44.337551
286.07912999999996,39.27832
294.65524,39.308361
294.71063,39.52174
293.87192000000005,38.422939
293.81619,38.563568
293.94116,38.601101
290.33362,38.728229999999996
287.69675,38.886452
285.28362999999996,38.947281
300.86397999999997,44.337551
285.28362999999996,38.947281
285.28362999999996,38.947281
286.92638999999997,38.921631
287.74881,38.92955
285.21381,39.027481
287.09398999999996,39.060719
289.31543,39.153278
286.07912999999996,39.27832
295.37805,40.493401
290.46176,40.562462
297.02826,48.208611
290.46176,40.562462
290.46176,40.562462
290.58173,40.5774
285.92001,39.624828
294.4899,39.771439
283.86638999999997,39.898078999999996
288.81201,40.033401
294.14789,40.055538
295.11371,40.071171
291.06152000000003,50.265128999999995
297.02826,48.208611
294.77686,40.15374
283.53845,40.217999
296.00699,40.295429
283.25354,40.358189
283.22141,40.421828999999995
283.22141,40.421828999999995
291.14951,40.420521
294.22397,40.417858
298.96112,40.862808
299.3161,40.822379999999995
292.23676,41.085879999999996
297.02826,48.208611
292.23676,41.085879999999996
294.05676,40.549679
294.74396,40.53392
295.50439,40.505489000000004
287.89713,40.637821
287.89713,40.637821
287.89713,40.637821
287.89713,40.637821
297.02826,48.208611
287.89713,40.637821
294.20215,40.66341
294.20215,40.66341
299.64285,40.691238
291.15878,40.750271000000005
291.15878,40.750271000000005
292.21436,40.759762
293.87811,41.661770000000004
299.18686,41.74268
283.31638,41.83712
286.5657,41.808399
286.5657,41.808399
292.23676,41.085879999999996
292.91312,41.060921
292.91312,41.060921
293.49661000000003,41.137589
283.86441,41.346458
288.51001,41.301769
296.88821,41.396091
287.1543,41.565788
284.86929,41.679192
287.36279,38.649601000000004
288.9942,41.633282
292.10519,42.380322
293.00797,42.307201
291.63898,42.436321
291.63898,42.436321
291.63898,42.436321
289.50847999999996,41.812119
291.76041000000004,41.944069
293.17929,41.969238
285.11047,42.033958
294.55917,46.062328
285.11047,42.033958
289.89777000000004,42.009151
286.24356,42.148811
290.00757000000004,42.116459000000006
284.08731,42.233230999999996
293.81647000000004,42.212502
287.24268,42.301369
287.24268,42.301369
287.24268,42.301369
291.58377,42.368159999999996
294.55917,46.062328
291.67172,42.343109000000005
292.87338,42.966141
292.87338,42.966141
292.87338,42.966141
292.87338,42.966141
294.90972999999997,42.935261
291.63898,42.436321
292.13702,42.42942
292.13702,42.42942
291.11969,42.507069
294.40192,50.172089
289.26874,42.604172
289.26874,42.604172
291.96417,42.69614
296.48343,42.663429
296.48343,42.663429
296.69394,42.62611
287.88412,42.832439
293.63696,42.82497
293.63696,42.82497
293.63696,42.82497
294.46088,38.383461
297.46002000000004,42.83992
290.39273,40.28487
290.39322000000004,43.363898999999996
290.39322000000004,43.363898999999996
292.96555,43.34639
299.00142999999997,43.399632000000004
294.90972999999997,42.935261
295.83536000000004,42.943062
296.68307000000004,42.967869
288.64252,43.039291
284.48245,44.398041
288.64252,43.039291
288.64252,43.039291
294.77393,43.056301
294.77393,43.056301
294.77393,43.056301
295.65148999999997,43.029831
297.97513,43.164909
291.1376,36.577381
282.69952,43.272739
283.63077000000004,43.379397999999995
297.45374,41.01099
285.16747999999995,43.876339
287.85239,43.897991
295.53612999999996,43.884449
285.16832999999997,44.026459
285.16832999999997,44.026459
292.92914,48.60281
296.41019,43.455391
293.0614,43.58136
293.0614,43.58136
299.56189,43.503559
282.23251,43.66563
282.23251,43.66563
290.39273,40.28487
282.23251,43.66563
296.98505,43.65852
296.98505,43.65852
296.98505,43.65852
281.96063,43.703109999999995
290.26328,44.55645
290.26328,44.55645
295.57935,44.545959
295.57935,44.545959
284.83047,44.658138
288.72665,44.60751
285.16832999999997,44.026459
285.16832999999997,44.026459
285.16832999999997,44.026459
296.50754,44.036072
289.59476,44.141949
289.59476,44.141949
289.59476,44.141949
296.56622000000004,44.105862
296.56622000000004,44.105862
296.56622000000004,44.105862
292.92914,48.60281
296.56622000000004,44.105862
298.63565,44.17094
298.67862,44.175499
284.43051,44.48053
284.75943,45.599129
285.55481000000003,45.578860999999996
293.68494,45.51683
296.39316,45.568562
296.39542,45.56992
288.90222,49.370490999999994
282.30602999999996,44.714661
293.45482999999996,44.792789
301.04956,44.706299
283.97751,44.811562
290.63898,44.806789
291.71732000000003,44.88731
291.84198,44.858089
291.84198,44.858089
291.84198,44.858089
294.84689,45.034409000000004
297.47586,41.114288
291.09235,45.115528000000005
291.20804,45.244389
289.72747999999996,45.367661
286.36011,45.414291
294.71768,45.48576
292.58044,46.097389
292.58044,46.097389
292.58044,46.097389
292.58044,46.097389
297.04562000000004,46.027359000000004
289.60797,44.345421
297.78848,45.565418
288.1647,45.816509
288.1647,45.816509
288.1647,45.816509
294.02301,45.853081
294.02301,45.853081
294.02301,45.853081
294.02301,45.853081
283.73203,45.958771
283.73203,45.958771
296.20059,49.140121
293.01828,45.914688
296.06424,45.976841
296.06424,45.976841
296.06424,45.976841
