Run,Camcol,Field,RA,Dec
6177,1,24,286.30448,38.20209
6177,2,24,286.51889,38.58676
6177,2,25,286.69416,38.52651
6177,3,25,286.91158,38.91015
6177,4,25,287.13159,39.29354
4127,4,27,299.79064,40.89677
6177,1,28,287.00074,37.96078
6177,3,28,287.43788,38.72681
6177,3,30,287.78725,38.60327
6177,3,31,287.96147,38.54111
6177,6,37,289.69417,39.29963
6177,4,40,289.74682,38.34858
6177,4,41,289.91871,38.28354
6177,5,42,290.32487,38.59540
6177,3,44,290.19897,37.70991
6177,5,45,290.83977,38.39706
6177,6,45,291.07891,38.77298
6177,4,46,290.77356,37.95468
6177,6,46,291.25057,38.70604
6177,4,48,291.11335,37.82142
6177,5,49,291.52193,38.12920
6177,4,52,291.78927,37.55202
6177,6,52,292.27389,38.29930
6177,5,53,292.19913,37.85749
6177,6,56,292.94978,38.02339
6177,5,57,292.87136,37.58200
6177,6,59,293.45340,37.81400
5416,6,146,282.83782,41.57007
5403,5,150,283.29864,40.75778
5416,6,150,283.58080,41.34996
5403,6,152,283.87276,41.03633
5403,4,155,284.00614,40.08980
5416,3,155,283.87686,39.90264
5416,4,155,284.08303,40.29157
5403,3,156,283.98137,39.64464
5416,6,156,284.68589,41.01114
5403,5,157,284.57735,40.36462
5403,4,158,284.54885,39.91972
5403,5,159,284.93995,40.24975
5416,2,160,284.57005,39.23125
5403,3,163,285.23553,39.24420
5416,2,163,285.10463,39.05857
5416,3,163,285.31496,39.44514
5416,1,166,285.42607,38.49716
5416,5,166,286.28229,40.03922
5403,3,168,286.12247,38.94995
5403,6,168,286.77709,40.10334
5416,5,169,286.81870,39.85871
5403,5,170,286.91225,39.59824
5403,6,170,287.13449,39.98177
5403,3,173,287.00196,38.64900
5403,2,174,286.95908,38.20487
5403,4,174,287.39742,38.97090
5403,4,177,287.92288,38.78539
5403,6,183,289.42677,39.16588
5403,5,188,290.05888,38.46306
5403,6,188,290.29421,38.84052
5403,4,189,289.99730,38.02026
5403,5,189,290.23075,38.39757
5403,4,190,290.16819,37.95487
5403,6,190,290.63898,38.70864
5403,4,191,290.33878,37.88923
5403,6,192,290.98249,38.57576
5403,5,193,290.91513,38.13319
5403,5,194,291.08545,38.06648
5403,6,194,291.32474,38.44191
5403,6,196,291.66573,38.30709
5403,6,198,292.00547,38.17131
5403,5,199,291.93243,37.72933
5403,5,200,292.10090,37.66119
5403,5,203,292.60448,37.45534
5403,6,203,292.84935,37.82771
5403,6,205,293.18471,37.68863
